epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,5491.39,0.76247,0.39753,0.8035,0.91565,0.89106,0.9438,0.69901,0.70887,0.35278,0.80533,0.0050995,0.0050995,0.0050995
101,5546.12,0.76199,0.39791,0.80646,0.91459,0.88842,0.94268,0.69839,0.7082,0.35199,0.80508,0.00505,0.00505,0.00505
102,5600.84,0.75852,0.39241,0.80245,0.92784,0.87734,0.94433,0.70014,0.70768,0.35078,0.80491,0.0050005,0.0050005,0.0050005
103,5655.53,0.77517,0.39742,0.8052,0.92377,0.88339,0.94387,0.70054,0.70735,0.34935,0.80474,0.004951,0.004951,0.004951
104,5710.31,0.76289,0.39344,0.80355,0.91262,0.89349,0.94364,0.7012,0.70732,0.34968,0.8046,0.0049015,0.0049015,0.0049015
105,5765.25,0.77325,0.39895,0.80323,0.92875,0.87752,0.94359,0.70026,0.70704,0.34938,0.80502,0.004852,0.004852,0.004852
106,5819.88,0.7644,0.39502,0.80634,0.92674,0.88295,0.9447,0.6998,0.70852,0.35004,0.80529,0.0048025,0.0048025,0.0048025
107,5874.81,0.75309,0.39259,0.80184,0.92754,0.88051,0.94461,0.70096,0.70649,0.3516,0.80498,0.004753,0.004753,0.004753
108,5929.63,0.75478,0.38829,0.80106,0.93267,0.87316,0.94416,0.70189,0.70619,0.3509,0.80451,0.0047035,0.0047035,0.0047035
109,5984.63,0.76067,0.39337,0.80313,0.92924,0.87584,0.94387,0.70161,0.70527,0.34893,0.80384,0.004654,0.004654,0.004654
110,6039.56,0.75869,0.39067,0.80211,0.92041,0.88782,0.94403,0.70028,0.70504,0.34881,0.80381,0.0046045,0.0046045,0.0046045
111,6094.3,0.76125,0.38776,0.80213,0.92394,0.88185,0.94456,0.70057,0.70519,0.34938,0.80416,0.004555,0.004555,0.004555
112,6149.07,0.75451,0.38762,0.80529,0.92268,0.883,0.94444,0.7011,0.70395,0.34892,0.80409,0.0045055,0.0045055,0.0045055
113,6203.87,0.74713,0.38291,0.80225,0.92481,0.88456,0.94552,0.70256,0.70377,0.35002,0.80396,0.004456,0.004456,0.004456
114,6258.56,0.75546,0.3859,0.80593,0.92862,0.88138,0.94657,0.7032,0.70293,0.34681,0.80357,0.0044065,0.0044065,0.0044065
115,6313.34,0.75421,0.38539,0.80219,0.93306,0.88013,0.94697,0.70361,0.70326,0.346,0.80335,0.004357,0.004357,0.004357
116,6368.21,0.74858,0.3822,0.80246,0.93166,0.88337,0.94626,0.70407,0.70296,0.34532,0.80324,0.0043075,0.0043075,0.0043075
117,6423.29,0.74888,0.38287,0.80184,0.93373,0.88134,0.94668,0.7044,0.70215,0.34532,0.8034,0.004258,0.004258,0.004258
118,6478.26,0.75428,0.38488,0.80058,0.9285,0.88512,0.94672,0.70346,0.70218,0.34561,0.80345,0.0042085,0.0042085,0.0042085
119,6533.07,0.74778,0.38331,0.80267,0.93234,0.88508,0.94712,0.70348,0.70157,0.34426,0.80335,0.004159,0.004159,0.004159
120,6587.86,0.75716,0.38253,0.80376,0.93134,0.88549,0.94778,0.70461,0.70095,0.34324,0.80325,0.0041095,0.0041095,0.0041095
121,6642.77,0.73736,0.37994,0.79942,0.92804,0.88432,0.94695,0.70404,0.7005,0.34221,0.80306,0.00406,0.00406,0.00406
122,6697.4,0.75031,0.38304,0.80102,0.92646,0.88598,0.94732,0.70535,0.70082,0.342,0.80304,0.0040105,0.0040105,0.0040105
123,6752.25,0.75466,0.38571,0.80041,0.92516,0.88685,0.94744,0.70584,0.70016,0.342,0.80288,0.003961,0.003961,0.003961
124,6807.36,0.7431,0.37751,0.79863,0.92357,0.89001,0.94777,0.70621,0.70002,0.34198,0.80288,0.0039115,0.0039115,0.0039115
125,6862.25,0.74125,0.3779,0.80097,0.92422,0.89061,0.94718,0.70651,0.6999,0.34253,0.80275,0.003862,0.003862,0.003862
126,6916.95,0.74371,0.3765,0.80094,0.92118,0.89507,0.94699,0.70735,0.70003,0.34185,0.80282,0.0038125,0.0038125,0.0038125
127,6971.78,0.73841,0.37686,0.8006,0.92178,0.89174,0.94701,0.70692,0.69973,0.34195,0.80291,0.003763,0.003763,0.003763
128,7026.56,0.73917,0.37591,0.80056,0.92239,0.8888,0.94702,0.70794,0.69996,0.34152,0.80309,0.0037135,0.0037135,0.0037135
129,7081.55,0.74337,0.37843,0.80103,0.92794,0.88596,0.94721,0.70701,0.70041,0.34148,0.80313,0.003664,0.003664,0.003664
130,7136.09,0.73691,0.37672,0.80095,0.93294,0.8847,0.94725,0.70721,0.69988,0.34071,0.80314,0.0036145,0.0036145,0.0036145
131,7190.75,0.73607,0.37015,0.80043,0.93277,0.88502,0.94717,0.70722,0.69974,0.34081,0.80297,0.003565,0.003565,0.003565
132,7245.32,0.73051,0.36809,0.79975,0.93322,0.88487,0.947,0.70805,0.69937,0.34013,0.80293,0.0035155,0.0035155,0.0035155
133,7300.15,0.74368,0.37595,0.79861,0.93244,0.88634,0.94713,0.7078,0.69972,0.33951,0.80279,0.003466,0.003466,0.003466
134,7354.72,0.73262,0.37217,0.80133,0.93295,0.8844,0.94736,0.70752,0.69957,0.33892,0.8028,0.0034165,0.0034165,0.0034165
135,7409.49,0.72226,0.36625,0.80061,0.93356,0.88328,0.94736,0.70854,0.6991,0.33888,0.80277,0.003367,0.003367,0.003367
